random id,age,gender,race,rank,years,employed,base_salary,bonus_comp,Total_Salary,region,areatype,major_procedures,satisfied_position,satisfied_salary
327,3,2,1,4,2,2,187000,245000,432000,1,2,1,69,28
309,3,1,3,3,3,2,266500,21000,287500,1,2,0,82,55
52,3,2,1,2,2,2,310000,15000,325000,1,2,0,79,64
165,3,1,1,3,2,2,320000,15000,335000,1,2,0,91,83
265,3,2,1,4,2,2,192000,0,192000,4,2,0,84,41
114,3,1,2,3,2,2,215000,5000,220000,1,2,0,65,30
189,3,1,2,3,2,2,489000,0,489000,6,1,1,22,42
51,3,1,1,2,3,2,425000,25000,450000,1,2,1,97,82
186,3,1,1,3,2,2,385000,40000,425000,5,1,1,89,80
316,3,2,1,3,2,2,340000,0,340000,1,2,1,95,85
131,3,1,1,3,2,2,280000,30000,310000,5,1,1,75,52
159,3,1,1,4,1,2,420000,0,420000,5,2,1,87,91
161,3,1,1,2,2,2,300000,60000,360000,6,2,1,83,25
160,3,2,2,3,3,2,325000,20000,345000,7,1,Nil,Nil,Nil
7,3,1,2,3,3,2,295000,0,295000,1,2,Nil,Nil,Nil
19,3,1,2,3,3,2,295000,0,295000,1,2,Nil,Nil,Nil
9,3,1,2,3,3,2,300000,0,300000,7,3,Nil,Nil,Nil
226,4,2,1,4,3,1,137934,34165,172099,1,1,0,84,85
174,4,2,1,3,4,2,162000,0,162000,1,2,0,89,60
113,4,1,1,2,4,2,228000,0,228000,5,1,0,89,31
169,4,2,2,2,4,2,240000,2000,242000,4,2,0,66,30
24,4,1,1,3,3,2,370000,Nil,370000,5,1,0,51,73
71,4,2,3,2,3,2,480000,Nil,480000,2,1,0,30,74
236,4,2,1,2,4,2,228000,0,228000,5,1,0,92,88
286,4,2,1,3,4,2,276000,5000,281000,6,2,1,25,30
271,4,2,2,3,4,2,290000,0,290000,6,2,0,76,94
235,4,2,1,4,4,2,210000,15000,225000,5,2,0,81,88
95,4,1,2,3,3,2,250000,35000,285000,2,1,0,84,51
262,4,2,2,3,4,2,265000,5000,270000,4,1,0,51,51
92,4,1,2,2,3,2,370000,0,370000,6,2,1,71,72
100,4,1,1,3,3,2,250000,Nil,250000,3,1,0,72,24
171,4,2,1,4,3,2,120000,120000,240000,5,1,0,79,51
188,4,1,1,3,3,2,360000,60000,420000,5,1,0,80,91
252,4,2,1,3,3,2,210000,0,210000,6,2,0,78,81
130,4,1,2,3,4,2,650000,250000,900000,2,1,1,49,36
232,4,2,1,6,4,1,317000,Nil,317000,5,1,1,0,23
105,4,2,2,4,3,2,230000,0,230000,4,1,1,71,23
21,4,1,2,3,3,2,575000,0,575000,1,2,1,73,82
152,4,1,3,3,4,2,200000,3000,203000,1,2,1,100,73
279,4,1,1,2,3,2,275000,13000,288000,1,2,0,90,52
90,4,2,1,2,3,2,325000,120000,445000,1,1,1,26,0
67,4,1,3,3,3,2,410000,0,410000,6,1,1,56,13
195,4,2,1,4,3,2,200000,195000,395000,5,2,1,75,51
303,4,1,1,3,3,2,350000,20000,370000,1,2,1,87,72
108,4,2,2,3,3,2,880000,0,880000,1,1,1,61,71
156,4,1,1,3,4,2,350000,0,350000,7,1,Nil,Nil,Nil
